baseline,attack,deltaFisherMinusBaseline,ci95Low,ci95High,pairedSignFlipP,favorablePairs,unfavorablePairs,ties
fixed,center_mean,0.01879,0.003889,0.035556,0.023438,7,1,32
fixed,channel_blur_sigma0_6,0.00244,0.000822,0.004171,0.0063,25,14,1
fixed,channel_jpeg_q90,-8.6e-05,-0.000903,0.000714,0.83355,20,17,3
fixed,channel_resize_roundtrip,0.00279,0.001245,0.004521,0.00075,24,13,3
fixed,constant_average_block,0.024107,0.005357,0.045536,0.023438,7,1,32
fixed,copy_move,0.018889,0.003889,0.035,0.023438,7,1,32
fixed,inter_block_substitution,0.033333,0.008333,0.06,0.023438,7,1,32
fixed,non_aligned_patch,0.002223,-0.002009,0.006495,0.34375,8,3,29
identity_cost,center_mean,0.011567,0.000456,0.024802,0.0625,5,1,34
identity_cost,channel_blur_sigma0_6,0.055896,0.036143,0.080812,0.0,37,2,1
identity_cost,channel_jpeg_q90,0.04657,0.037498,0.056097,0.0,40,0,0
identity_cost,channel_resize_roundtrip,0.058658,0.041762,0.077526,0.0,39,1,0
identity_cost,constant_average_block,0.015179,0.0,0.032143,0.0625,5,1,34
identity_cost,copy_move,0.011667,0.0,0.025,0.0625,5,1,34
identity_cost,inter_block_substitution,0.021667,0.001667,0.045,0.0625,5,1,34
identity_cost,non_aligned_patch,0.002025,-0.002028,0.005983,0.351562,7,2,31
random,center_mean,0.017929,0.006818,0.031263,0.015625,7,0,33
random,channel_blur_sigma0_6,0.000842,-0.000569,0.002534,0.35765,19,21,0
random,channel_jpeg_q90,3.7e-05,-0.000573,0.000662,0.9076,16,19,5
random,channel_resize_roundtrip,0.00179,0.00052,0.00322,0.01005,21,15,4
random,constant_average_block,0.022619,0.007738,0.039881,0.015625,7,0,33
random,copy_move,0.017929,0.007222,0.030859,0.015625,7,0,33
random,inter_block_substitution,0.022381,-0.005952,0.05,0.15625,7,1,32
random,non_aligned_patch,0.003051,-0.001672,0.007885,0.22168,8,3,29
smallest,center_mean,0.010052,-0.006515,0.026421,0.34375,7,3,30
smallest,channel_blur_sigma0_6,0.000294,-0.001049,0.001674,0.6841,20,15,5
smallest,channel_jpeg_q90,-0.000153,-0.001011,0.000673,0.7271,16,17,7
smallest,channel_resize_roundtrip,-0.000539,-0.002118,0.001019,0.5145,15,21,4
smallest,constant_average_block,0.012798,-0.007143,0.034226,0.34375,7,3,30
smallest,copy_move,0.010152,-0.005657,0.026818,0.34375,7,3,30
smallest,inter_block_substitution,0.017381,-0.010238,0.045,0.34375,7,3,30
smallest,non_aligned_patch,0.001459,-0.002584,0.005645,0.512695,7,4,29
